X1 kernel_area,X2 kernel_length,Wheat Varieties,Normalized X1 kernel_area,Normalized X2 kernel_length
14.88,"4,956", Kama ,-0.004361706911282020,-0.060452339818754200
14.29,"4,825", Kama ,-0.060074643644048900,-0.08063120776885850
13.84,"4,805", Kama ,-0.10256756149107400,-0.08371195096734770
16.14,"5,175", Kama ,0.11461846306038900,-0.026718201795297400
14.38,"4,956", Kama ,-0.05157606007464370,-0.060452339818754200
14.69,"5,219", Kama ,-0.02230316111335960,-0.019940566758621200
16.63,"5,877", Kama ,0.16088852916048400,0.08141588447167360
16.44,"5,533", Kama ,0.14294707495840600,0.028427101457659300
15.26,"5,314", Kama ,0.031521201492872800,-0.005307036565797480
14.03,"5,001", Kama ,-0.08462610728899700,-0.05352066762215350
13.89,"4,738", Kama ,-0.09784612617473810,-0.09403244068228650
13.78,"4,872", Kama ,-0.10823328387067800,-0.07339146125240890
13.74,"4,825", Kama ,-0.11201043212374700,-0.08063120776885850
14.59,"4,781", Kama ,-0.03174603174603190,-0.08740884280553480
13.99,"4,781", Kama ,-0.08840325554206580,-0.08740884280553480
15.69,"5,046", Kama ,0.07212554521336380,-0.04658899542555280
14.7,"4,649", Kama ,-0.021358874050092400,-0.1077417479155640
12.72,"4,914", Kama ,-0.20832771257700400,-0.06692190053558160
14.16,"5,176", Kama ,-0.07235037546652290,-0.026564164635373000
14.11,"5,219", Kama ,-0.0770718107828591,-0.019940566758621200
15.88,"5,091", Kama ,0.09006699941544130,-0.0396573232289521
12.08,"4,961", Kama ,-0.2687620846261070,-0.059682154019131900
15.01,"5,001", Kama ,0.007914024911191920,-0.05352066762215350
16.19,"5,307", Kama ,0.11933989837672600,-0.006385296685268700
13.02,"4,825", Kama ,-0.17999910067898800,-0.08063120776885850
12.74,"4,869", Kama ,-0.20643913845047,-0.07385357273218230
14.11,"5,038", Kama ,-0.0770718107828591,-0.04782129270494850
13.45,"5,097", Kama ,-0.1393947569584970,-0.03873310026940530
13.16,"5,056", Kama ,-0.1667790817932460,-0.045048623826308200
15.49,"5,228", Kama ,0.05323980394801920,-0.018554232319301100
14.09,"5,299", Kama ,-0.07896038490939350,-0.007617593964664380
13.94,"5,012", Kama ,-0.09312469085840210,-0.051826258862984500
16.12,"5,443", Kama ,0.11272988893385500,0.014563757064457900
16.2,"5,527", Kama ,0.12028418543999300,0.027502878498112500
17.08,"5,484", Kama ,0.20338144700750900,0.02087928062136080
14.8,"5,309", Kama ,-0.01191600341741990,-0.00607722236541978
14.28,"5,001", Kama ,-0.06101893070731620,-0.05352066762215350
13.54,"5,178", Kama ,-0.13089617338909100,-0.026256090315524100
13.5,"5,176", Kama ,-0.13467332164216000,-0.026564164635373000
13.16,"4,783", Kama ,-0.1667790817932460,-0.08710076848568580
15.5,"5,528", Kama ,0.05418409101128640,0.027656915658037
13.8,"4,961", Kama ,-0.10634470974414300,-0.059682154019131900
15.36,"5,132", Kama ,0.04096407212554510,-0.033341799672049200
14.99,"5,175", Kama ,0.006025450784657500,-0.026718201795297400
14.79,"5,111", Kama ,-0.012860290480687300,-0.036576580030462900
14.86,"5,351", Kama ,-0.006250281037816610,0.0003923383514075480
14.43,"5,144", Kama ,-0.046854624758307600,-0.03149335375295570
15.78,"5,136", Kama ,0.08062412878276880,-0.032725651032351400
14.49,"5,396", Kama ,-0.041188902378704200,0.0073240105480082600
14.33,"5,224", Kama ,-0.05629749539097990,-0.019170380958998900
14.52,"5,487", Kama ,-0.038356041188902500,0.021341392101134100
15.03,"5,439", Kama ,0.009802599037726350,0.013947608424760000
14.46,"5,044", Kama ,-0.0440217635685058,-0.046897069745401700
14.92,"5,088", Kama ,-0.0005845586582131650,-0.040119434708725500
15.38,"5,222", Kama ,0.04285264625207960,-0.019478455278847800
12.11,"4,519", Kama ,-0.26592922343630600,-0.12776657870574300
11.42,"4,607", Kama ,-0.3310850308017450,-0.11421130863239100
11.23,"4,703", Kama ,-0.34902648500382200,-0.09942374127964270
12.36,"4,605", Kama ,-0.2423220468546250,-0.11451938295224000
13.22,"5,088", Kama ,-0.16111335941364300,-0.040119434708725500
12.78,"4,782", Kama ,-0.20266199019740100,-0.08725480564561030
12.88,"4,607", Kama ,-0.19321911956472900,-0.11421130863239100
14.01,"5,132", Kama ,-0.0865146814155314,-0.033341799672049200
12.73,"5,067", Kama ,-0.2073834255137370,-0.04335421506713910
16.84,"5,877", Rosa ,0.1807185574890960,0.08141588447167360
17.26,"5,791", Rosa ,0.22037861414632000,0.06816868871817000
19.11,"6,079", Rosa ,0.39507172085075800,0.11253139077641500
16.82,"5,841", Rosa ,0.17882998336256100,0.07587054671439300
16.77,"5,795", Rosa ,0.17410854804622500,0.06878483735786790
17.32,"5,922", Rosa ,0.22604433652592300,0.08834755666827430
20.71,"6,451", Rosa ,0.546157650973515,0.16983321426831400
18.94,"6,362", Rosa ,0.37901884077521500,0.15612390703503700
17.12,"5,746", Rosa ,0.20715859526057800,0.06123701652156930
18.72,"5,879", Rosa ,0.35824452538333500,0.08172395879152250
20.2,"6,187", Rosa ,0.4979990107468860,0.12916740404825600
19.57,"6,273", Rosa ,0.4385089257610500,0.14241459980176000
19.51,"6,185", Rosa ,0.43284320338144700,0.12885932972840700
18.27,"6,197", Rosa ,0.31575160753631000,0.13070777564750100
18.88,"6,109", Rosa ,0.37335311839561100,0.11715250557414800
18.98,"6,498", Rosa ,0.3827959890282840,0.1770729607847630
21.18,"6,231", Rosa ,0.5905391429470750,0.13594503908493300
20.88,"6,321", Rosa ,0.5622105310490580,0.14980838347813400
20.1,"6,449", Rosa ,0.4885561401142140,0.16952513994846500
18.76,"6,053", Rosa ,0.3620216736364050,0.1085264246183790
18.81,"6,053", Rosa ,0.3667431089527410,0.1085264246183790
18.59,"5,877", Rosa ,0.3459687935608610,0.08141588447167360
18.36,"6,448", Rosa ,0.324250191105715,0.16937110278854000
16.87,"5,967", Rosa ,0.18355141867889700,0.09527922886487500
19.31,"6,238", Rosa ,0.4139574621161020,0.13702329920440400
18.98,"6,453", Rosa ,0.3827959890282840,0.1701412885881630
18.17,"6,273", Rosa ,0.3063087369036380,0.14241459980176000
18.72,"6,097", Rosa ,0.35824452538333500,0.11530405965505500
16.41,"5,618", Rosa ,0.1401142137686050,0.04152026005123840
17.99,"5,837", Rosa ,0.2893115697648270,0.0752543980746952
19.46,"6,009", Rosa ,0.4281217680651110,0.10174878958170200
19.18,"6,229", Rosa ,0.4016817302936280,0.13563696476508400
18.95,"6,148", Rosa ,0.3799631278384820,0.12315995481120200
18.83,"5,879", Rosa ,0.3686316830792750,0.08172395879152250
17.63,"5,929", Rosa ,0.255317235487207,0.08942581678774550
18.55,"5,894", Rosa ,0.34219164530779300,0.08403451619038940
18.45,"5,794", Rosa ,0.3327487746751200,0.06863080019794340
19.38,"5,965", Rosa ,0.4205674715589730,0.0949711545450261
19.13,"5,924", Rosa ,0.39696029497729200,0.08865563098812320
19.14,"6,053", Rosa ,0.39790458204055900,0.1085264246183790
20.97,"6,316", Rosa ,0.5707091146184630,0.14903819767851200
19.06,"6,163", Rosa ,0.3903502855344210,0.12547051221006900
19.15,"6,185", Rosa ,0.3988488691038260,0.12885932972840700
18.89,"5,966", Rosa ,0.3742974054588790,0.09512519170495060
20.24,"6,188", Rosa ,0.5017761589999550,0.12932144120818100
18.14,"6,011", Rosa ,0.303475875713836,0.10205686390155100
16.17,"5,703", Rosa ,0.11745132425019100,0.05461341864481750
18.43,"5,905", Rosa ,0.33086020054858600,0.08572892494955850
15.99,"5,144", Rosa ,0.10045415711138100,-0.03149335375295570
18.75,"5,992", Rosa ,0.3610773865731370,0.09913015786298650
18.65,"6,102", Rosa ,0.3516345159404650,0.11607424545467700
17.98,"5,919", Rosa ,0.28836728270156000,0.08788544518850090
20.16,"6,185", Rosa ,0.49422186249381700,0.12885932972840700
17.55,"5,661", Rosa ,0.24776293898106900,0.048143857927990200
